# source_id	kind	status	crystal_refs	notes
src/dfa/accel.rs::func::add	func	ported	src/regex/automata/accel.cr:Accel#add;src/regex/automata/accel.cr:Accels#add;spec/accel_spec.cr	ported accelerator byte insertion and accelerator collection appends with roundtrip coverage
src/dfa/accel.rs::func::as_bytes	func	ported	src/regex/automata/accel.cr:Accels#as_bytes;spec/accel_spec.cr	ported accelerator collection byte view and serialized-length parity coverage
src/dfa/accel.rs::func::as_ref	func	ported	src/regex/automata/accel.cr:Accels#as_ref;spec/accel_spec.cr	ported borrowed accelerator view compatibility helper
src/dfa/accel.rs::func::empty	func	ported	src/regex/automata/accel.cr:Accel.empty;src/regex/automata/accel.cr:Accels.empty;spec/accel_spec.cr	ported empty accelerator constructors for individual and collection forms
src/dfa/accel.rs::func::from_bytes_unchecked	func	ported	src/regex/automata/accel.cr:Accels.from_bytes_unchecked;spec/accel_spec.cr	ported accelerator collection byte deserializer for the port's native on-wire layout
src/dfa/accel.rs::func::from_slice	func	ported	src/regex/automata/accel.cr:Accel.from_slice;spec/accel_spec.cr	ported accelerator decoding from raw four-byte slices with invalid-length rejection
src/dfa/accel.rs::func::is_empty	func	ported	src/regex/automata/accel.cr:Accel#empty?;spec/accel_spec.cr	ported empty accelerator predicate
src/dfa/accel.rs::func::len	func	ported	src/regex/automata/accel.cr:Accel#len;src/regex/automata/accel.cr:Accels#len;spec/accel_spec.cr	ported accelerator length accessors for single accelerators and collections
src/dfa/accel.rs::func::memory_usage	func	ported	src/regex/automata/accel.cr:Accels#memory_usage;spec/accel_spec.cr	ported accelerator collection memory-usage accessor
src/dfa/accel.rs::func::needles	func	ported	src/regex/automata/accel.cr:Accel#needles;src/regex/automata/accel.cr:Accels#needles;spec/accel_spec.cr	ported accelerator needle accessors and forward/reverse search proof
src/dfa/accel.rs::func::new	func	ported	src/regex/automata/accel.cr:Accel.empty;spec/accel_spec.cr	ported empty accelerator constructor equivalent to upstream build-time `Accel::new`
src/dfa/accel.rs::func::to_owned	func	ported	src/regex/automata/accel.cr:Accels#to_owned;spec/accel_spec.cr	ported owned accelerator collection clone helper
src/dfa/accel.rs::func::validate	func	ported	src/regex/automata/accel.cr:Accels#validate;spec/accel_spec.cr	ported accelerator collection validation over serialized accelerator chunks
src/dfa/accel.rs::func::write_to_len	func	ported	src/regex/automata/accel.cr:Accels#write_to_len;spec/accel_spec.cr	ported accelerator serialized-length helper
src/dfa/accel.rs::method::Accel.new	method	ported	src/regex/automata/accel.cr:Accel.empty;spec/accel_spec.cr	ported empty accelerator constructor compatibility surface
src/dfa/accel.rs::method::Accels.empty	method	ported	src/regex/automata/accel.cr:Accels.empty;spec/accel_spec.cr	ported empty accelerator collection constructor
