# source_api_id	status	crystal_refs	notes
src/dfa/accel.rs::func::add	missing	-	baseline
src/dfa/accel.rs::func::as_bytes	missing	-	baseline
src/dfa/accel.rs::func::as_ref	missing	-	baseline
src/dfa/accel.rs::func::empty	missing	-	baseline
src/dfa/accel.rs::func::from_bytes_unchecked	missing	-	baseline
src/dfa/accel.rs::func::from_slice	missing	-	baseline
src/dfa/accel.rs::func::is_empty	missing	-	baseline
src/dfa/accel.rs::func::len	missing	-	baseline
src/dfa/accel.rs::func::memory_usage	missing	-	baseline
src/dfa/accel.rs::func::needles	missing	-	baseline
src/dfa/accel.rs::func::new	missing	-	baseline
src/dfa/accel.rs::func::to_owned	missing	-	baseline
src/dfa/accel.rs::func::validate	missing	-	baseline
src/dfa/accel.rs::func::write_to_len	missing	-	baseline
src/dfa/accel.rs::method::Accel.new	missing	-	baseline
src/dfa/accel.rs::method::Accels.empty	missing	-	baseline
src/dfa/accel.rs::method::Accels.from_bytes_unchecked	missing	-	baseline
src/dfa/automaton.rs::enum::StartError	missing	-	baseline
src/dfa/automaton.rs::func::get_match	missing	-	baseline
src/dfa/automaton.rs::func::start	missing	-	baseline
src/dfa/automaton.rs::method::OverlappingState.start	missing	-	baseline
src/dfa/automaton.rs::struct::OverlappingState	missing	-	baseline
src/dfa/dense.rs::func::accelerate	missing	-	baseline
src/dfa/dense.rs::func::alphabet_len	missing	-	baseline
src/dfa/dense.rs::func::always_match	missing	-	baseline
src/dfa/dense.rs::func::as_ref	missing	-	baseline
src/dfa/dense.rs::func::build	missing	-	baseline
src/dfa/dense.rs::func::build_from_nfa	missing	-	baseline
src/dfa/dense.rs::func::builder	missing	-	baseline
src/dfa/dense.rs::func::byte_classes	missing	-	baseline
src/dfa/dense.rs::func::config	missing	-	baseline
src/dfa/dense.rs::func::configure	missing	-	baseline
src/dfa/dense.rs::func::determinize_size_limit	missing	-	baseline
src/dfa/dense.rs::func::dfa_size_limit	missing	-	baseline
src/dfa/dense.rs::func::from_bytes	missing	-	baseline
src/dfa/dense.rs::func::get_accelerate	missing	-	baseline
src/dfa/dense.rs::func::get_byte_classes	missing	-	baseline
src/dfa/dense.rs::func::get_determinize_size_limit	missing	-	baseline
src/dfa/dense.rs::func::get_dfa_size_limit	missing	-	baseline
src/dfa/dense.rs::func::get_match_kind	missing	-	baseline
src/dfa/dense.rs::func::get_minimize	missing	-	baseline
src/dfa/dense.rs::func::get_prefilter	missing	-	baseline
src/dfa/dense.rs::func::get_quit	missing	-	baseline
src/dfa/dense.rs::func::get_specialize_start_states	missing	-	baseline
src/dfa/dense.rs::func::get_starts	missing	-	baseline
src/dfa/dense.rs::func::get_starts_for_each_pattern	missing	-	baseline
src/dfa/dense.rs::func::get_unicode_word_boundary	missing	-	baseline
src/dfa/dense.rs::func::is_size_limit_exceeded	missing	-	baseline
src/dfa/dense.rs::func::match_kind	missing	-	baseline
src/dfa/dense.rs::func::memory_usage	missing	-	baseline
src/dfa/dense.rs::func::minimize	missing	-	baseline
src/dfa/dense.rs::func::never_match	missing	-	baseline
src/dfa/dense.rs::func::new	missing	-	baseline
src/dfa/dense.rs::func::prefilter	missing	-	baseline
src/dfa/dense.rs::func::quit	missing	-	baseline
src/dfa/dense.rs::func::set_prefilter	missing	-	baseline
src/dfa/dense.rs::func::specialize_start_states	missing	-	baseline
src/dfa/dense.rs::func::start_kind	missing	-	baseline
src/dfa/dense.rs::func::starts_for_each_pattern	missing	-	baseline
src/dfa/dense.rs::func::stride	missing	-	baseline
src/dfa/dense.rs::func::stride2	missing	-	baseline
src/dfa/dense.rs::func::syntax	missing	-	baseline
src/dfa/dense.rs::func::thompson	missing	-	baseline
src/dfa/dense.rs::func::to_bytes_big_endian	missing	-	baseline
src/dfa/dense.rs::func::to_bytes_little_endian	missing	-	baseline
src/dfa/dense.rs::func::to_bytes_native_endian	missing	-	baseline
src/dfa/dense.rs::func::to_owned	missing	-	baseline
src/dfa/dense.rs::func::to_sparse	missing	-	baseline
