# source_id	kind	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AssertionKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::Ast	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models the top-level AST as an Ast wrapper over concrete node classes instead of a single sum enum, with kind/empty helpers on the wrapper.
src/ast/mod.rs::enum::ClassAsciiKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAsciiKind now exists as an explicit compatibility alias with direct from_name and constructor coverage.
src/ast/mod.rs::enum::ClassPerlKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassPerlKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::ClassSet	enum	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models class-set expressions as AST::ClassSet with an inner Kind enum instead of a top-level enum.
src/ast/mod.rs::enum::ClassSetBinaryOpKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetBinaryOpKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::ClassSetItem	enum	partial	src/regex/syntax/ast.cr	Character class set item kinds are exposed through AST::ClassSetItem::Kind on the Crystal node model.
src/ast/mod.rs::enum::ClassUnicodeKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassUnicode now exposes a dedicated ClassUnicodeKind compatibility wrapper with one-letter, named, and named-value forms.
src/ast/mod.rs::enum::ClassUnicodeOpKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassUnicode::ClassUnicodeOpKind now exists with equality-op helper coverage.
src/ast/mod.rs::enum::ErrorKind	enum	done	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::ErrorKind now exists directly with the vendored parser error variants, including ClassRangeLiteral and formatter-backed message coverage.
src/ast/mod.rs::enum::Flag	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Flag now exists directly with char conversion and enum-based flag-state coverage.
src/ast/mod.rs::enum::FlagsItemKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItemKind now exists as an explicit compatibility alias with direct negation helper coverage.
src/ast/mod.rs::enum::GroupKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	GroupKind now exists as an explicit compatibility alias with direct constructor and capture helper coverage.
src/ast/mod.rs::enum::HexLiteralKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Literal::HexLiteralKind now exists directly with digit-count helper coverage.
src/ast/mod.rs::enum::LiteralKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	LiteralKind now exists as an explicit compatibility alias with direct byte and constructor coverage.
src/ast/mod.rs::enum::RepetitionKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	RepetitionKind now exists as an explicit compatibility alias with direct constructor and validity coverage.
src/ast/mod.rs::enum::RepetitionRange	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::RepetitionRange now exists directly with exactly/at-least/bounded constructors and validity coverage.
src/ast/mod.rs::enum::SpecialLiteralKind	enum	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Literal::SpecialLiteralKind now exists directly with escaped-literal compatibility coverage.
src/ast/mod.rs::func::add_item	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags.add_item now matches the Rust-style duplicate-detection return surface.
src/ast/mod.rs::func::alternation	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.alternation now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::assertion	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.assertion now has direct vendored-style constructor coverage over Assertion nodes.
src/ast/mod.rs::func::auxiliary_span	func	done	src/regex/syntax/error.cr;spec/error_spec.cr	AST::Error now exposes the vendored auxiliary_span accessor directly with explicit duplicate-flag coverage.
src/ast/mod.rs::func::byte	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal.byte now has direct vendored-style coverage for singleton hex byte literals.
src/ast/mod.rs::func::capture_index	func	done	src/regex/syntax/ast.cr;spec/parser_spec.cr	Group.capture_index and Group.capture_name now expose the Rust capture metadata surface directly on the Crystal AST.
src/ast/mod.rs::func::class_bracketed	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.class_bracketed now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::class_perl	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.class_perl now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::class_unicode	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.class_unicode now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::concat	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.concat now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::digits	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Literal::HexLiteralKind now exposes the Rust digit-count helper directly.
src/ast/mod.rs::func::dot	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.dot now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::empty	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.empty now accepts the Rust-shaped span constructor form in addition to the default helper.
src/ast/mod.rs::func::flag_state	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags.flag_state now accepts the dedicated AST::Flag enum directly.
src/ast/mod.rs::func::flags	func	done	src/regex/syntax/ast.cr;spec/parser_spec.cr;spec/ast_api_spec.cr	SetFlags#flags and Group#flags now expose the Rust-shaped flags wrapper surface directly.
src/ast/mod.rs::func::from_name	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAsciiKind.from_name now has direct vendored-style coverage.
src/ast/mod.rs::func::group	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.group now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::into_ast	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation and Concat now have direct vendored-style into_ast coverage.
src/ast/mod.rs::func::into_item	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetUnion now exposes the vendored into_item compatibility helper with direct coverage.
src/ast/mod.rs::func::is_capturing	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Group now exposes the vendored is_capturing compatibility predicate with direct coverage.
src/ast/mod.rs::func::is_empty	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.empty? now exists directly on the Crystal AST wrapper.
src/ast/mod.rs::func::is_equal	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassUnicodeOpKind now exposes the vendored is_equal compatibility helper directly with named-value operator coverage.
src/ast/mod.rs::func::is_negated	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassUnicode now exposes the vendored is_negated compatibility helper directly with negated named-value coverage.
src/ast/mod.rs::func::is_negation	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItem and FlagsItemKind now expose the vendored is_negation compatibility predicates with direct coverage.
src/ast/mod.rs::func::is_one_line	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span now exposes the vendored is_one_line compatibility predicate with direct coverage.
src/ast/mod.rs::func::is_valid	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetRange and RepetitionOp now expose the vendored is_valid compatibility predicates with direct coverage.
src/ast/mod.rs::func::kind	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast exposes the vendored kind helper directly on the public Crystal AST wrapper with constructor coverage across concrete node kinds.
src/ast/mod.rs::func::literal	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.literal now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::new	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Position.new and Span.new expose the vendored public constructor surface directly with explicit API coverage.
src/ast/mod.rs::func::pattern	func	done	src/regex/syntax/error.cr;spec/error_spec.cr	AST::Error now exposes the vendored pattern accessor directly with parser and explicit-constructor coverage.
src/ast/mod.rs::func::push	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetUnion.push now has direct vendored-style span-update and append coverage.
src/ast/mod.rs::func::repetition	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.repetition now exists as a direct top-level AST constructor helper.
src/ast/mod.rs::func::span	func	done	src/regex/syntax/ast.cr;src/regex/syntax/error.cr;spec/ast_api_spec.cr;spec/error_spec.cr	Ast, AST::Error, and the concrete node/value types expose the vendored span accessors directly with explicit coverage.
src/ast/mod.rs::func::splat	func	ported	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span.splat exists on the public Crystal AST API with direct helper coverage.
src/ast/mod.rs::func::union	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSet.union now exposes the vendored static union constructor in addition to the existing instance helper, with direct coverage.
src/ast/mod.rs::func::with_end	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span.with_end now has direct vendored-style coverage.
src/ast/mod.rs::func::with_start	func	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span.with_start now has direct vendored-style coverage.
src/ast/mod.rs::method::Alternation.into_ast	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation.into_ast now matches the Rust empty/singleton collapsing behavior.
src/ast/mod.rs::method::Ast.empty	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Ast.empty now exists with both zero-arg and span-taking helper coverage.
src/ast/mod.rs::method::ClassAsciiKind.from_name	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAsciiKind.from_name now has direct vendored-style API coverage.
src/ast/mod.rs::method::ClassSet.union	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSet.union now has direct vendored-style static-constructor coverage.
src/ast/mod.rs::method::ClassSetItem.span	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetItem.span now has direct vendored-style coverage through the Crystal AST node model.
src/ast/mod.rs::method::ClassSetRange.is_valid	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetRange.is_valid now has direct vendored-style API coverage.
src/ast/mod.rs::method::ClassSetUnion.push	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetUnion.push now has direct vendored-style API coverage.
src/ast/mod.rs::method::ClassUnicode.is_negated	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassUnicode.is_negated now exists directly with vendored `!=` negation semantics.
src/ast/mod.rs::method::ClassUnicodeOpKind.is_equal	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassUnicodeOpKind.is_equal now exists directly with API coverage.
src/ast/mod.rs::method::Concat.into_ast	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Concat.into_ast now matches the Rust empty/singleton collapsing behavior.
src/ast/mod.rs::method::Error.kind	method	done	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::Error exposes the vendored kind accessor directly with parser and explicit-constructor coverage.
src/ast/mod.rs::method::Flags.add_item	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Flags.add_item now returns the duplicate item index like Rust.
src/ast/mod.rs::method::FlagsItemKind.is_negation	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItemKind now exposes the vendored is_negation helper directly with API coverage.
src/ast/mod.rs::method::Group.flags	method	done	src/regex/syntax/ast.cr;spec/parser_spec.cr	Group.flags now yields an empty Flags set for plain non-capturing groups, matching the Rust surface more closely.
src/ast/mod.rs::method::HexLiteralKind.digits	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	HexLiteralKind.digits now exists directly with API coverage.
src/ast/mod.rs::method::Literal.byte	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Literal.byte now has direct vendored-style API coverage.
src/ast/mod.rs::method::Position.new	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Position.new now has direct vendored-style API coverage.
src/ast/mod.rs::method::RepetitionRange.is_valid	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	RepetitionRange.valid? now exists directly with API coverage.
src/ast/mod.rs::method::Span.new	method	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Span.new overloads now have direct vendored-style API coverage.
src/ast/mod.rs::struct::Alternation	struct	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Alternation now has direct constructor and into_ast coverage on the Crystal AST API.
src/ast/mod.rs::struct::Assertion	struct	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Assertion now has direct constructor coverage on the Crystal AST API.
src/ast/mod.rs::struct::CaptureName	struct	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr;spec/parser_spec.cr	CaptureName now exists directly with parser-backed capture-name metadata coverage.
