# source_api_id	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AssertionKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::Ast	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models the top-level AST as an Ast wrapper over concrete node classes instead of a single sum enum, with kind/empty helpers on the wrapper.
src/ast/mod.rs::enum::ClassAsciiKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassAsciiKind now exists as an explicit compatibility alias with direct from_name and constructor coverage.
src/ast/mod.rs::enum::ClassPerlKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassPerlKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::ClassSet	partial	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	Crystal models class-set expressions as AST::ClassSet with an inner Kind enum instead of a top-level enum.
src/ast/mod.rs::enum::ClassSetBinaryOpKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	ClassSetBinaryOpKind now exists as an explicit compatibility alias with direct constructor coverage.
src/ast/mod.rs::enum::ClassSetItem	partial	src/regex/syntax/ast.cr	Character class set item kinds are exposed through AST::ClassSetItem::Kind on the Crystal node model.
src/ast/mod.rs::enum::ClassUnicodeKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassUnicode now exposes a dedicated ClassUnicodeKind compatibility wrapper with one-letter, named, and named-value forms.
src/ast/mod.rs::enum::ClassUnicodeOpKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::ClassUnicode::ClassUnicodeOpKind now exists with equality-op helper coverage.
src/ast/mod.rs::enum::ErrorKind	done	src/regex/syntax/error.cr;spec/error_spec.cr	Structured AST::ErrorKind now exists directly with the vendored parser error variants, including ClassRangeLiteral and formatter-backed message coverage.
src/ast/mod.rs::enum::Flag	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Flag now exists directly with char conversion and enum-based flag-state coverage.
src/ast/mod.rs::enum::FlagsItemKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	FlagsItemKind now exists as an explicit compatibility alias with direct negation helper coverage.
src/ast/mod.rs::enum::GroupKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	GroupKind now exists as an explicit compatibility alias with direct constructor and capture helper coverage.
src/ast/mod.rs::enum::HexLiteralKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	AST::Literal::HexLiteralKind now exists directly with digit-count helper coverage.
src/ast/mod.rs::enum::LiteralKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	LiteralKind now exists as an explicit compatibility alias with direct byte and constructor coverage.
src/ast/mod.rs::enum::RepetitionKind	done	src/regex/syntax/ast.cr;spec/ast_api_spec.cr	RepetitionKind now exists as an explicit compatibility alias with direct constructor and validity coverage.
