# source_id	kind	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	enum	partial	Regex::Syntax::AST::Assertion::Kind	Missing some variants (WordBoundaryStart, WordBoundaryEnd, WordBoundaryStartAngle, WordBoundaryEndAngle)
src/ast/mod.rs::enum::Ast	enum	ported	Regex::Syntax::AST::Ast (class hierarchy)	Rust enum ported as Crystal class hierarchy
src/ast/mod.rs::enum::ClassAsciiKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ClassPerlKind	enum	ported	Regex::Syntax::AST::ClassPerl::Kind	Crystal includes negated variants (DigitNeg, SpaceNeg, WordNeg) not in Rust
src/ast/mod.rs::enum::ClassSet	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ClassSetBinaryOpKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ClassSetItem	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ClassUnicodeKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ClassUnicodeOpKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::ErrorKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::Flag	enum	missing	-	auto-generated
src/ast/mod.rs::enum::FlagsItemKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::GroupKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::HexLiteralKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::LiteralKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::RepetitionKind	enum	missing	-	auto-generated
src/ast/mod.rs::enum::RepetitionRange	enum	missing	-	auto-generated
src/ast/mod.rs::enum::SpecialLiteralKind	enum	missing	-	auto-generated
src/ast/mod.rs::func::add_item	func	missing	-	auto-generated
src/ast/mod.rs::func::alternation	func	missing	-	auto-generated
src/ast/mod.rs::func::assertion	func	missing	-	auto-generated
src/ast/mod.rs::func::auxiliary_span	func	missing	-	auto-generated
src/ast/mod.rs::func::byte	func	missing	-	auto-generated
src/ast/mod.rs::func::capture_index	func	missing	-	auto-generated
src/ast/mod.rs::func::class_bracketed	func	missing	-	auto-generated
src/ast/mod.rs::func::class_perl	func	missing	-	auto-generated
src/ast/mod.rs::func::class_unicode	func	missing	-	auto-generated
src/ast/mod.rs::func::concat	func	missing	-	auto-generated
src/ast/mod.rs::func::digits	func	missing	-	auto-generated
src/ast/mod.rs::func::dot	func	missing	-	auto-generated
src/ast/mod.rs::func::empty	func	missing	-	auto-generated
src/ast/mod.rs::func::flag_state	func	missing	-	auto-generated
src/ast/mod.rs::func::flags	func	missing	-	auto-generated
src/ast/mod.rs::func::from_name	func	missing	-	auto-generated
src/ast/mod.rs::func::group	func	missing	-	auto-generated
src/ast/mod.rs::func::into_ast	func	missing	-	auto-generated
src/ast/mod.rs::func::into_item	func	missing	-	auto-generated
src/ast/mod.rs::func::is_capturing	func	missing	-	auto-generated
src/ast/mod.rs::func::is_empty	func	missing	-	auto-generated
src/ast/mod.rs::func::is_equal	func	missing	-	auto-generated
src/ast/mod.rs::func::is_negated	func	missing	-	auto-generated
src/ast/mod.rs::func::is_negation	func	missing	-	auto-generated
src/ast/mod.rs::func::is_one_line	func	missing	-	auto-generated
src/ast/mod.rs::func::is_valid	func	missing	-	auto-generated
src/ast/mod.rs::func::kind	func	missing	-	auto-generated
src/ast/mod.rs::func::literal	func	missing	-	auto-generated
src/ast/mod.rs::func::new	func	missing	-	auto-generated
src/ast/mod.rs::func::pattern	func	missing	-	auto-generated
src/ast/mod.rs::func::push	func	missing	-	auto-generated
src/ast/mod.rs::func::repetition	func	missing	-	auto-generated
src/ast/mod.rs::func::span	func	missing	-	auto-generated
src/ast/mod.rs::func::splat	func	missing	-	auto-generated
src/ast/mod.rs::func::union	func	missing	-	auto-generated
src/ast/mod.rs::func::with_end	func	missing	-	auto-generated
src/ast/mod.rs::func::with_start	func	missing	-	auto-generated
src/ast/mod.rs::method::Alternation.into_ast	method	missing	-	auto-generated
src/ast/mod.rs::method::Ast.empty	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassAsciiKind.from_name	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassSet.union	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassSetItem.span	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassSetRange.is_valid	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassSetUnion.push	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassUnicode.is_negated	method	missing	-	auto-generated
src/ast/mod.rs::method::ClassUnicodeOpKind.is_equal	method	missing	-	auto-generated
src/ast/mod.rs::method::Concat.into_ast	method	missing	-	auto-generated
src/ast/mod.rs::method::Error.kind	method	missing	-	auto-generated
src/ast/mod.rs::method::Flags.add_item	method	missing	-	auto-generated
src/ast/mod.rs::method::FlagsItemKind.is_negation	method	missing	-	auto-generated
src/ast/mod.rs::method::Group.flags	method	missing	-	auto-generated
src/ast/mod.rs::method::HexLiteralKind.digits	method	missing	-	auto-generated
src/ast/mod.rs::method::Literal.byte	method	missing	-	auto-generated
src/ast/mod.rs::method::Position.new	method	missing	-	auto-generated
src/ast/mod.rs::method::RepetitionRange.is_valid	method	missing	-	auto-generated
src/ast/mod.rs::method::Span.new	method	missing	-	auto-generated
src/ast/mod.rs::struct::Alternation	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Assertion	struct	missing	-	auto-generated
src/ast/mod.rs::struct::CaptureName	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassAscii	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassBracketed	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassPerl	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassSetBinaryOp	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassSetRange	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassSetUnion	struct	missing	-	auto-generated
src/ast/mod.rs::struct::ClassUnicode	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Comment	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Concat	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Error	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Flags	struct	missing	-	auto-generated
src/ast/mod.rs::struct::FlagsItem	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Group	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Literal	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Position	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Repetition	struct	missing	-	auto-generated
src/ast/mod.rs::struct::RepetitionOp	struct	missing	-	auto-generated
src/ast/mod.rs::struct::SetFlags	struct	missing	-	auto-generated
src/ast/mod.rs::struct::Span	struct	missing	-	auto-generated
src/ast/mod.rs::struct::WithComments	struct	missing	-	auto-generated
src/ast/mod.rs::test::ast_size	test	missing	-	auto-generated
src/ast/mod.rs::test::no_stack_overflow_on_drop	test	missing	-	auto-generated
src/ast/parse.rs::func::build	func	missing	-	auto-generated
src/ast/parse.rs::func::empty_min_range	func	missing	-	auto-generated
src/ast/parse.rs::func::ignore_whitespace	func	missing	-	auto-generated
src/ast/parse.rs::func::nest_limit	func	missing	-	auto-generated
src/ast/parse.rs::func::new	func	missing	-	auto-generated
src/ast/parse.rs::func::octal	func	missing	-	auto-generated
src/ast/parse.rs::func::parse	func	missing	-	auto-generated
src/ast/parse.rs::func::parse_with_comments	func	missing	-	auto-generated
src/ast/parse.rs::method::Parser.new	method	missing	-	auto-generated
src/ast/parse.rs::method::ParserBuilder.new	method	missing	-	auto-generated
src/ast/parse.rs::struct::Parser	struct	missing	-	auto-generated
src/ast/parse.rs::struct::ParserBuilder	struct	missing	-	auto-generated
src/ast/parse.rs::test::maybe_parse_ascii_class	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_alternate	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_capture_name	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_comments	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_counted_repetition	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_decimal	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_escape	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_flag	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_flags	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_group	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_hex_brace	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_hex_eight	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_hex_four	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_hex_two	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_holistic	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_ignore_whitespace	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_nest_limit	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_newlines	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_octal	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_perl_class	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_primitive_non_escape	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_set_class	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_set_class_open	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_uncounted_repetition	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_unicode_class	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_unsupported_backreference	test	missing	-	auto-generated
src/ast/parse.rs::test::parse_unsupported_lookaround	test	missing	-	auto-generated
src/ast/parse.rs::test::regression_454_nest_too_big	test	missing	-	auto-generated
src/ast/parse.rs::test::regression_455_trailing_dash_ignore_whitespace	test	missing	-	auto-generated
src/ast/print.rs::func::new	func	ported	Regex::Syntax::AST::Printer.new	AST printer constructor ported
src/ast/print.rs::method::Printer.new	method	ported	Regex::Syntax::AST::Printer.new	AST printer constructor ported
src/ast/print.rs::struct::Printer	struct	ported	Regex::Syntax::AST::Printer	AST printer surface ported
src/ast/print.rs::test::print_alternation	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST alternation printing covered in Crystal parity spec
src/ast/print.rs::test::print_assertion	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST assertion printing covered in Crystal parity spec
src/ast/print.rs::test::print_class	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST class printing covered in Crystal parity spec
src/ast/print.rs::test::print_concat	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST concatenation printing covered in Crystal parity spec
src/ast/print.rs::test::print_dot	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST dot printing covered in Crystal parity spec
src/ast/print.rs::test::print_flags	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST flag printing covered in Crystal parity spec
src/ast/print.rs::test::print_group	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST group printing covered in Crystal parity spec
src/ast/print.rs::test::print_literal	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST literal printing covered in Crystal parity spec
src/ast/print.rs::test::print_repetition	test	ported	lib/regex-syntax/spec/ast_print_visitor_parity_spec.cr	AST repetition printing covered in Crystal parity spec
src/ast/visitor.rs::trait::Visitor	trait	ported	Regex::Syntax::AST::Visitor, Regex::Syntax::AST.visit	AST visitor protocol and traversal entrypoint ported
src/either.rs::enum::Either	enum	ported	Regex::Syntax::Either(Left, Right)	Internal binary sum helper ported as a generic Crystal struct with left/right constructors
src/error.rs::enum::Error	enum	skipped	Regex::Syntax::Error, Regex::Syntax::AST::Error, Regex::Syntax::Hir::Error	Crystal raises structured exception subtypes directly instead of returning a wrapper sum enum
src/error.rs::struct::Formatter	struct	ported	Regex::Syntax::Formatter(E)	Vendored formatter ported for AST and HIR error rendering
src/error.rs::test::regression_464	test	ported	lib/regex-syntax/spec/error_spec.cr	Multiline parser error formatting covered in Crystal error specs
src/error.rs::test::repetition_quantifier_expects_a_valid_decimal	test	ported	lib/regex-syntax/spec/error_spec.cr	Counted repetition decimal error formatting covered in Crystal error specs
src/hir/interval.rs::func::case_fold_simple	func	missing	-	auto-generated
src/hir/interval.rs::func::difference	func	missing	-	auto-generated
src/hir/interval.rs::func::intersect	func	missing	-	auto-generated
src/hir/interval.rs::func::intervals	func	missing	-	auto-generated
src/hir/interval.rs::func::iter	func	missing	-	auto-generated
src/hir/interval.rs::func::negate	func	missing	-	auto-generated
src/hir/interval.rs::func::push	func	missing	-	auto-generated
src/hir/interval.rs::func::symmetric_difference	func	missing	-	auto-generated
src/hir/interval.rs::func::union	func	missing	-	auto-generated
src/hir/interval.rs::struct::IntervalSet	struct	missing	-	auto-generated
src/hir/interval.rs::struct::IntervalSetIter	struct	missing	-	auto-generated
src/hir/interval.rs::trait::Bound	trait	missing	-	auto-generated
src/hir/interval.rs::trait::Interval	trait	missing	-	auto-generated
src/hir/literal.rs::enum::ExtractKind	enum	ported	Regex::Syntax::Hir::LiteralExtraction::ExtractKind	Literal-extraction mode enum ported
src/hir/literal.rs::func::as_bytes	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#as_bytes	Literal byte-slice accessor ported
src/hir/literal.rs::func::cross_forward	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#cross_forward	Literal sequence forward cross-product ported
src/hir/literal.rs::func::cross_reverse	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#cross_reverse	Literal sequence reverse cross-product ported
src/hir/literal.rs::func::dedup	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#dedup	Literal sequence deduplication ported
src/hir/literal.rs::func::empty	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq.empty	Literal sequence empty constructor ported
src/hir/literal.rs::func::extend	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#extend	Literal concatenation helper ported
src/hir/literal.rs::func::extract	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#extract	Literal extraction entrypoints ported
src/hir/literal.rs::func::infinite	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq.infinite	Literal sequence infinite constructor ported
src/hir/literal.rs::func::into_bytes	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#into_bytes	Literal byte ownership helper ported
src/hir/literal.rs::func::is_empty	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#empty?, Regex::Syntax::Hir::LiteralExtraction::Seq#empty?	Literal and sequence emptiness predicates ported
src/hir/literal.rs::func::is_exact	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#exact?, Regex::Syntax::Hir::LiteralExtraction::Seq#exact?	Literal and sequence exactness predicates ported
src/hir/literal.rs::func::is_finite	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#finite?	Literal sequence finiteness predicate ported
src/hir/literal.rs::func::is_inexact	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#inexact?, Regex::Syntax::Hir::LiteralExtraction::ExtractKind#is_prefix, Regex::Syntax::Hir::LiteralExtraction::ExtractKind#is_suffix	Literal sequence inexactness and extract-kind alias predicates ported
src/hir/literal.rs::func::is_prefix	func	ported	Regex::Syntax::Hir::LiteralExtraction::ExtractKind#prefix?, Regex::Syntax::Hir::LiteralExtraction::ExtractKind#is_prefix	Prefix extract-kind predicates ported
src/hir/literal.rs::func::is_suffix	func	ported	Regex::Syntax::Hir::LiteralExtraction::ExtractKind#suffix?, Regex::Syntax::Hir::LiteralExtraction::ExtractKind#is_suffix	Suffix extract-kind predicates ported
src/hir/literal.rs::func::keep_first_bytes	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#keep_first_bytes, Regex::Syntax::Hir::LiteralExtraction::Seq#keep_first_bytes	Leading-byte trimming helpers ported
src/hir/literal.rs::func::keep_last_bytes	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#keep_last_bytes, Regex::Syntax::Hir::LiteralExtraction::Seq#keep_last_bytes	Trailing-byte trimming helpers ported
src/hir/literal.rs::func::kind	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#kind	Extractor mode builder ported
